All-Genes	Product	Pathways of gene	Accession-1
ulaE	L-xylulose 5-phosphate 3-epimerase	"L-ascorbate degradation II (bacterial, aerobic) // ""L-ascorbate degradation I (bacterial, anaerobic)"""	E2348C_4520
ulaG	L-ascorbate 6-phosphate lactonase	"L-ascorbate degradation I (bacterial, anaerobic)"	E2348C_4515
ulaR	transcriptional repressor UlaR		E2348C_4514
umuC	DNA polymerase V subunit UmuC		E2348C_1303
umuD	DNA polymerase V subunit UmuD		E2348C_1302
ung	uracil-DNA glycosylase		E2348C_2857
uof	ryhB-regulated fur leader peptide		E2348C_0575
upp	uracil phosphoribosyltransferase	"pyrimidine nucleobases salvage II // ""superpathway of pyrimidine nucleobases salvage"" // ""pyrimidine nucleobases salvage I"""	E2348C_2723
uraA	uracil transporter		E2348C_2722
usg	semialdehyde dehydrogenase		E2348C_2459
ushA	bifunctional UDP-sugar hydrolase/5'-nucleotidase periplasmic	"adenosine nucleotides degradation II // ""urate biosynthesis/inosine 5'-phosphate degradation"" // ""NAD salvage pathway II"" // ""purine nucleotides degradation II (aerobic)"" // ""guanosine nucleotides degradation III"""	E2348C_0415
uspA	universal stress global response regulator		E2348C_3732
uspB	universal stress protein UspB		E2348C_3731
uspC	universal stress protein UspC		E2348C_2016
uspD	universal stress protein UspD		E2348C_4227
uspE	universal stress protein UspE		E2348C_1526
uspF	"stress-induced protein, ATP-binding protein"		E2348C_1537
uspG	universal stress protein UP12		E2348C_0510
uup	ABC transporter ATPase		E2348C_0935
uvrA	excinuclease ABC subunit A		E2348C_4382
uvrB	excinuclease ABC subunit B		E2348C_0731
uvrC	excinuclease ABC subunit C		E2348C_2031
uvrD	DNA-dependent helicase II		E2348C_4113
uvrY	response regulator		E2348C_2032
uxaA	altronate hydrolase	"D-galacturonate degradation I // ""superpathway of &beta;-D-glucuronide and D-glucuronate degradation"" // ""D-fructuronate degradation"""	E2348C_3384
uxaB	altronate oxidoreductase	D-galacturonate degradation I	E2348C_1642
uxaC	glucuronate isomerase	"pectin degradation III // ""D-galacturonate degradation I"" // ""superpathway of &beta;-D-glucuronide and D-glucuronate degradation"" // ""&beta;-D-glucuronide and D-glucuronate degradation"""	E2348C_3385
uxuA	mannonate dehydratase	"superpathway of &beta;-D-glucuronide and D-glucuronate degradation // ""D-fructuronate degradation"""	E2348C_4628
uxuB	"D-mannonate oxidoreductase, NAD-binding"	"superpathway of &beta;-D-glucuronide and D-glucuronate degradation // ""D-fructuronate degradation"""	E2348C_4629
uxuR	DNA-binding transcriptional repressor UxuR		E2348C_4630
vacJ	lipoprotein		E2348C_2484
valS	valyl-tRNA synthetase	tRNA charging	E2348C_4582
valT	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA14
valU	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA47
valV	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA31
valW	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA32
valX	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA48
valY	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA49
valZ	tRNA-Val	"tRNA charging // ""tRNA processing"""	E2348C_tRNA16
visC	hypothetical protein	"superpathway of chorismate metabolism // ""superpathway of ubiquinol-8 biosynthesis (prokaryotic)"" // ""ubiquinol-8 biosynthesis (prokaryotic)"""	E2348C_3158
vse	hypothetical protein		E2348C_1870
vsr	DNA mismatch endonuclease Vsr of very short patch repair		E2348C_2073
waaA	3-deoxy-D-manno-octulosonic-acid transferase	"superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis // ""superpathway of lipopolysaccharide biosynthesis"" // ""KDO transfer to lipid IV<sub>A</sub> I"""	E2348C_3881
wbiN	glycosyl transferase family protein		E2348C_2181
wbiO	O-acetyltransferase		E2348C_2174
wbiP	glycosyl transferase family protein		E2348C_2172
wbiQ	fucosyltransferase		E2348C_2171
wcaA	glycosyl transferase family protein		E2348C_2201
wcaB	colanic acid biosynthesis acetyltransferase WcaB		E2348C_2200
wcaC	glycosyl transferase family protein		E2348C_2199
wcaD	colanic acid biosynthesis protein		E2348C_2198
wcaE	glycosyl transferase family protein		E2348C_2197
wcaF	colanic acid biosynthesis acetyltransferase WcaF		E2348C_2196
wcaI	glycosyl transferase family protein		E2348C_2192
wcaJ	UDP-glucose lipid carrier transferase		E2348C_2189
wcaK	pyruvyl transferase		E2348C_2187
wcaL	glycosyl transferase family protein		E2348C_2186
wcaM	colanic acid biosynthesis protein		E2348C_2185
wecC	UDP-N-acetyl-D-mannosamine dehydrogenase	"enterobacterial common antigen biosynthesis // ""UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis"""	E2348C_4088
wecH	hypothetical protein		E2348C_3813
wrbA	TrpR binding protein WrbA		E2348C_1055
wza	lipoprotein required for capsular polysaccharide translocation through the outer membrane		E2348C_2204
wzb	tyrosine phosphatase		E2348C_2203
wzc	tyrosine kinase		E2348C_2202
wzx	O-antigen flippase		E2348C_2175
wzxC	colanic acid exporter		E2348C_2188
wzxE	O-antigen translocase		E2348C_4093
wzy	O-antigen polymerase		E2348C_2173
wzyE	common antigen polymerase		E2348C_4095
wzz	regulator of length of O-antigen component of lipopolysaccharide chains		E2348C_2168
wzzE	lipopolysaccharide biosynthesis protein WzzE		E2348C_4086
xapA	purine nucleoside phosphorylase	"adenosine nucleotides degradation II // ""superpathway of guanine and guanosine salvage"" // ""guanine and guanosine salvage"" // ""guanosine nucleotides degradation III"" // ""purine nucleotides degradation II (aerobic)"" // ""xanthine and xanthosine salvage"" // ""urate biosynthesis/inosine 5'-phosphate degradation"" // ""adenine and adenosine salvage III"" // ""adenine and adenosine salvage I"" // ""adenine and adenosine salvage V"" // ""purine ribonucleosides degradation"" // ""superpathway of purine deoxyribonucleosides degradation"" // ""purine deoxyribonucleosides degradation"""	E2348C_2592
xapB	xanthosine transporter		E2348C_2591
xdhA	xanthine dehydrogenase subunit XdhA	"urate biosynthesis/inosine 5'-phosphate degradation // ""guanosine nucleotides degradation III"" // ""purine nucleotides degradation II (aerobic)"" // ""adenosine nucleotides degradation II"""	E2348C_3118
xdhB	xanthine dehydrogenase subunit XdhB	"urate biosynthesis/inosine 5'-phosphate degradation // ""guanosine nucleotides degradation III"" // ""purine nucleotides degradation II (aerobic)"" // ""adenosine nucleotides degradation II"""	E2348C_3119
xdhC	xanthine dehydrogenase subunit XdhC	"urate biosynthesis/inosine 5'-phosphate degradation // ""guanosine nucleotides degradation III"" // ""purine nucleotides degradation II (aerobic)"" // ""adenosine nucleotides degradation II"""	E2348C_3120
xerC	site-specific tyrosine recombinase XerC		E2348C_4111
xerD	site-specific tyrosine recombinase XerD		E2348C_3147
xni	exonuclease IX		E2348C_3065
xseA	exodeoxyribonuclease VII large subunit		E2348C_2784
xseB	exodeoxyribonuclease VII small subunit		E2348C_0357
xthA	exonuclease III		E2348C_1877
xylA	xylose isomerase	"superpathway of glucose and xylose degradation // ""xylose degradation I"""	E2348C_3817
xylB	xylulokinase	"superpathway of glucose and xylose degradation // ""xylose degradation I"" // ""D-arabitol degradation"""	E2348C_3816
xylF	D-xylose transporter subunit XylF		E2348C_3818
xylG	xylose transporter ATP-binding subunit		E2348C_3819
xylH	"xylose transport, membrane component; membrane component of ABC superfamily XylH"		E2348C_3820
xylR	"DNA-binding transcriptional activator, xylose-binding"		E2348C_3821
yaaA	hypothetical protein		E2348C_0006
yaaH	hypothetical protein		E2348C_0011
yaaI	hypothetical protein		E2348C_0013
yaaJ	transporter		E2348C_0007
yaaU	transporter		E2348C_0046
yaaW	hypothetical protein		E2348C_0012
yaaX	hypothetical protein		E2348C_0005
yaaY	hypothetical protein		E2348C_0024
yabI	hypothetical protein		E2348C_0071
yacC	hypothetical protein		E2348C_0125
yacF	hypothetical protein		E2348C_0106
yacG	zinc-binding protein		E2348C_0105
yacH	hypothetical protein		E2348C_0120
yacL	hypothetical protein		E2348C_0122
yadB	glutamyl-Q tRNA(Asp) synthetase		E2348C_0147
yadD	transposase		E2348C_0135
yadE	polysaccharide deacetylase		E2348C_0133
yadG	transporter subunit: ATP-binding component of ABC superfamily		E2348C_0130
yadH	transporter subunit: membrane component of ABC superfamily		E2348C_0131
yadI	PTS Enzyme IIA		E2348C_0132
yadK	fimbrial protein		E2348C_0139
yadN	fimbrial-like protein		E2348C_0144
yadR	iron-sulfur cluster insertion protein ErpA		E2348C_0163
yadS	hypothetical protein		E2348C_0164
yaeB	hypothetical protein		E2348C_0201
yaeF	hypothetical protein		E2348C_0199
yaeH	hypothetical protein		E2348C_0170
yaeJ	peptidyl-tRNA hydrolase domain-containing protein		E2348C_0197
yaeL	zinc metallopeptidase RseP		E2348C_0181
yaeP	hypothetical protein		E2348C_0195
yaeQ	hypothetical protein		E2348C_0196
yaeR	hypothetical protein		E2348C_0192
yaeT	outer membrane protein assembly factor YaeT		E2348C_0182
yafC	DNA-binding transcriptional regulator		E2348C_0208
yafD	hypothetical protein		E2348C_0209
yafE	S-adenosyl-L-methionine-dependent methyltransferase		E2348C_0210
yafJ	amidotransferase		E2348C_0220
yafK	hypothetical protein		E2348C_0221
yafL	lipoprotein		E2348C_0222
yafP	hypothetical protein		E2348C_0227
yafS	S-adenosyl-L-methionine-dependent methyltransferase		E2348C_0213
yafV	hypothetical protein		E2348C_0216
yagU	hypothetical protein		E2348C_0243
yahA	DNA-binding transcriptional regulator		E2348C_0277
yahB	DNA-binding transcriptional regulator		E2348C_0278
yahC	hypothetical protein		E2348C_0279
yahD	transcriptional regulator with ankyrin domain		E2348C_0280
yahE	hypothetical protein		E2348C_0281
yahF	acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	"fatty acid &beta;-oxidation I // ""androstenedione degradation"" // ""fatty acid activation"""	E2348C_0282
yahG	hypothetical protein		E2348C_0283
yahH	hypothetical protein		E2348C_0284
yahI	carbamate kinase	"allantoin degradation IV (anaerobic) // ""citrulline degradation"""	E2348C_0285
yahJ	deaminase		E2348C_0286
yahN	neutral amino-acid efflux system		E2348C_0288
yahO	hypothetical protein		E2348C_0289
yaiA	hypothetical protein		E2348C_0325
yaiE	hypothetical protein		E2348C_0327
yaiI	hypothetical protein		E2348C_0323
yaiL	nucleoprotein/polynucleotide-associated enzyme		E2348C_0301
yaiV	DNA-binding transcriptional regulator		E2348C_0311
yaiY	hypothetical protein		E2348C_0315
yaiZ	hypothetical protein		E2348C_0316
yajC	preprotein translocase subunit YajC		E2348C_0342
yajD	hypothetical protein		E2348C_0345
yajG	hypothetical protein		E2348C_0369
yajI	hypothetical protein		E2348C_0347
yajL	DJ-1 family protein		E2348C_0359
yajO	2-carboxybenzaldehyde reductase		E2348C_0354
yajQ	nucleotide-binding protein		E2348C_0361
yajR	transporter		E2348C_0362
ybaA	hypothetical protein		E2348C_0391
ybaB	hypothetical protein		E2348C_0406
ybaE	transporter subunit: periplasmic-binding component of ABC superfamily		E2348C_0380
ybaJ	hypothetical protein		E2348C_0396
ybaK	hypothetical protein		E2348C_0416
ybaL	cation:proton antiport protein		E2348C_0413
ybaM	hypothetical protein		E2348C_0401
ybaN	hypothetical protein		E2348C_0403
ybaO	DNA-binding transcriptional regulator		E2348C_0382
ybaP	hypothetical protein		E2348C_0417
ybaQ	DNA-binding transcriptional regulator		E2348C_0418
ybaS	glutaminase	glutamine degradation I	E2348C_0420
ybaT	transporter		E2348C_0421
ybaV	hypothetical protein		E2348C_0377
ybaW	hypothetical protein		E2348C_0378
ybaY	outer membrane lipoprotein		E2348C_0388
ybaZ	methyltransferase		E2348C_0390
ybbA	ABC transporter ATP-binding protein		E2348C_0434
ybbB	tRNA 2-selenouridine synthase		E2348C_0437
ybbJ	hypothetical protein		E2348C_0427
ybbK	"protease, membrane anchored"		E2348C_0428
ybbL	ABC transporter ATP-binding protein		E2348C_0429
ybbM	hypothetical protein		E2348C_0430
ybbN	thioredoxin domain-containing protein		E2348C_0431
ybbO	short chain dehydrogenase		E2348C_0432
ybbP	hypothetical protein		E2348C_0435
ybbW	allantoin permease		E2348C_0444
ybbY	purine permease YbbY		E2348C_0446
ybcF	carbamate kinase	"allantoin degradation IV (anaerobic) // ""citrulline degradation"""	E2348C_0454
ybcH	hypothetical protein		E2348C_0467
ybcI	hypothetical protein		E2348C_0460
ybcJ	hypothetical protein		E2348C_0461
ybdB	hypothetical protein		E2348C_0499
ybdD	hypothetical protein		E2348C_0501
ybdF	hypothetical protein		E2348C_0479
ybdG	mechanosensitive channel		E2348C_0477
ybdH	hypothetical protein		E2348C_0502
ybdJ	hypothetical protein		E2348C_0480
ybdK	carboxylate-amine ligase		E2348C_0481
ybdL	aminotransferase		E2348C_0503
ybdM	hypothetical protein		E2348C_0504
ybdN	hypothetical protein		E2348C_0505
ybdO	DNA-binding transcriptional regulator		E2348C_0506
ybdZ	hypothetical protein		E2348C_0487
ybeA	rRNA large subunit methyltransferase		E2348C_0536
ybeB	hypothetical protein		E2348C_0537
ybeD	hypothetical protein		E2348C_0531
ybeL	hypothetical protein		E2348C_0543
ybeM	amidase	"NAD salvage pathway I // ""acrylonitrile degradation I"" // ""indole-3-acetate biosynthesis IV (bacteria)"" // ""indole-3-acetate biosynthesis III (bacteria)"""	E2348C_0526
ybeX	ion transport		E2348C_0551
ybeY	metalloprotease		E2348C_0552
ybeZ	hypothetical protein		E2348C_0553
ybfA	hypothetical protein		E2348C_0589
ybfE	LexA regulated protein		E2348C_0577
ybfF	hypothetical protein		E2348C_0578
ybfM	outer membrane porin		E2348C_0572
ybfN	lipoprotein		E2348C_0573
ybgA	hypothetical protein		E2348C_0590
ybgC	acyl-CoA thioester hydrolase		E2348C_0620
ybgE	hypothetical protein		E2348C_0619
ybgF	tol-pal system protein YbgF		E2348C_0626
ybgH	transporter		E2348C_0592
ybgI	hydrolase-oxidase		E2348C_0593
ybgJ	carboxylase subunit		E2348C_0594
ybgK	carboxylase subunit		E2348C_0595
ybgL	LamB/YcsF family protein		E2348C_0596
ybgS	hypothetical protein		E2348C_0630
ybgT	hypothetical protein		E2348C_0618
ybhA	phosphotransferase		E2348C_0643
ybhB	kinase inhibitor protein		E2348C_0724
ybhC	pectinesterase	pectin degradation III	E2348C_0649
ybhD	DNA-binding transcriptional regulator		E2348C_0645
ybhF	fused transporter subunits of ABC superfamily: ATP-binding components		E2348C_0746
ybhG	hypothetical protein		E2348C_0747
ybhH	hypothetical protein		E2348C_0646
ybhI	transporter		E2348C_0647
ybhJ	hypothetical protein		E2348C_0648
ybhK	transferase with NAD(P)-binding Rossmann-fold domain		E2348C_0732
ybhL	hypothetical protein		E2348C_0738
ybhM	hypothetical protein		E2348C_0739
ybhN	hypothetical protein		E2348C_0740
ybhO	cardiolipin synthase 2	"phospholipid biosynthesis I // ""cardiolipin biosynthesis I"""	E2348C_0741
ybhP	DNase		E2348C_0742
ybhQ	hypothetical protein		E2348C_0743
ybhR	DNase		E2348C_0744
ybhS	transporter subunit: membrane component of ABC superfamily		E2348C_0745
ybhT	hypothetical protein		E2348C_0639
ybiB	glycosyl transferase family protein		E2348C_0752
ybiC	hypothetical protein		E2348C_0753
ybiH	DNA-binding transcriptional regulator		E2348C_0748
ybiI	hypothetical protein		E2348C_0755
ybiJ	hypothetical protein		E2348C_0754
ybiM	hypothetical protein		E2348C_0758
ybiN	SAM-dependent methyltransferase		E2348C_0759
ybiO	hypothetical protein		E2348C_0760
ybiP	"hydrolase, inner membrane"		E2348C_0768
ybiR	transporter		E2348C_0770
ybiS	hypothetical protein		E2348C_0771
ybiT	fused transporter subunits of ABC superfamily: ATP-binding components		E2348C_0772
ybiV	hydrolase		E2348C_0773
ybiW	pyruvate formate lyase	"mixed acid fermentation // ""respiration (anaerobic)"" // ""pyruvate fermentation to ethanol I"" // ""pyruvate fermentation to acetate IV"" // ""reductive monocarboxylic acid cycle"""	E2348C_0774
ybiX	hydroxylase		E2348C_0756
ybiY	pyruvate formate lyase activating enzyme		E2348C_0775
ybjC	hypothetical protein		E2348C_0847
ybjD	hypothetical protein		E2348C_0873
ybjE	transporter		E2348C_0871
ybjG	undecaprenyl pyrophosphate phosphatase		E2348C_0792
ybjH	hypothetical protein		E2348C_0794
ybjI	hypothetical protein	flavin biosynthesis I (bacteria and plants)	E2348C_0795
ybjJ	transporter		E2348C_0796
ybjK	DNA-binding transcriptional regulator		E2348C_0797
ybjL	hypothetical protein		E2348C_0844
ybjM	hypothetical protein		E2348C_0845
ybjN	oxidoreductase		E2348C_0850
ybjO	hypothetical protein		E2348C_0855
ybjP	lipoprotein		E2348C_0862
ybjQ	hypothetical protein		E2348C_0863
ybjR	amidase	"NAD salvage pathway I // ""acrylonitrile degradation I"" // ""indole-3-acetate biosynthesis IV (bacteria)"" // ""indole-3-acetate biosynthesis III (bacteria)"""	E2348C_0864
ybjS	NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain		E2348C_0865
ybjT	hypothetical protein		E2348C_0866
ybjX	hypothetical protein		E2348C_0874
ycaD	MFS family transporter protein		E2348C_0894
ycaI	hypothetical protein		E2348C_0906
ycaL	peptidase with chaperone function		E2348C_0902
ycaO	hypothetical protein		E2348C_0898
ycaP	hypothetical protein		E2348C_0899
ycaQ	hypothetical protein		E2348C_0909
ycaR	hypothetical protein		E2348C_0910
ycbB	hypothetical protein		E2348C_0918
ycbC	hypothetical protein		E2348C_0913
ycbG	hypothetical protein		E2348C_0942
ycbJ	hypothetical protein		E2348C_0912
ycbK	hypothetical protein		E2348C_0919
ycbL	metal-binding enzyme		E2348C_0920
ycbW	hypothetical protein		E2348C_0932
ycbX	2Fe-2S cluster-containing protein		E2348C_0933
ycbZ	peptidase		E2348C_0941
yccA	hypothetical protein		E2348C_0956
yccF	hypothetical protein		E2348C_0947
yccJ	hypothetical protein		E2348C_1054
yccK	sulfur transfer protein TusE		E2348C_0955
yccM	(4Fe-4S)-binding protein		E2348C_0977
yccR	hypothetical protein		E2348C_0945
yccS	hypothetical protein		E2348C_0946
yccT	hypothetical protein		E2348C_0950
yccU	CoA-binding protein with NAD(P)-binding Rossmann-fold domain		E2348C_0951
yccW	methyltransferase		E2348C_0953
yccX	acylphosphatase		E2348C_0954
ycdB	hypothetical protein		E2348C_1069
ycdO	hypothetical protein		E2348C_1068
ycdX	hydrolase		E2348C_1124
ycdY	hypothetical protein		E2348C_1125
ycdZ	hypothetical protein		E2348C_1126
yceA	hypothetical protein		E2348C_1145
yceB	hypothetical protein		E2348C_1153
yceD	hypothetical protein		E2348C_1180
yceF	Maf-like protein		E2348C_1179
yceG	hypothetical protein		E2348C_1189
yceH	hypothetical protein		E2348C_1157
yceI	hypothetical protein		E2348C_1146
yceJ	cytochrome b561		E2348C_1147
yceK	hypothetical protein		E2348C_1141
yceM	oxidoreductase with NAD(P)-binding Rossmann-fold domain		E2348C_1158
yceN	hypothetical protein		E2348C_1159
yceO	hypothetical protein		E2348C_1148
yceQ	hypothetical protein		E2348C_1177
ycfD	hypothetical protein		E2348C_1269
ycfH	metallodependent hydrolase		E2348C_1192
ycfJ	hypothetical protein		E2348C_1202
ycfL	hypothetical protein		E2348C_1196
ycfM	outer membrane lipoprotein		E2348C_1197
ycfP	hypothetical protein		E2348C_1200
ycfQ	DNA-binding transcriptional regulator		E2348C_1203
ycfS	hypothetical protein		E2348C_1205
ycfT	hypothetical protein		E2348C_1207
ycfZ	hypothetical protein		E2348C_1213
ycgB	SpoVR family protein		E2348C_1307
ycgE	DNA-binding transcriptional regulator		E2348C_1279
ycgF	FAD-binding phosphodiesterase		E2348C_1280
ycgJ	hypothetical protein		E2348C_1296
ycgK	hypothetical protein		E2348C_1297
ycgL	hypothetical protein		E2348C_1298
ycgM	hypothetical protein		E2348C_1299
ycgN	hypothetical protein		E2348C_1300
ycgR	protein involved in flagellar function		E2348C_1313
ycgX	hypothetical protein		E2348C_1278
ycgZ	hypothetical protein		E2348C_1281
ychA	transcriptional regulator		E2348C_1337
ychE	hypothetical protein		E2348C_1368
ychF	GTP-dependent nucleic acid-binding protein EngD		E2348C_1326
ychH	hypothetical protein		E2348C_1328
ychJ	hypothetical protein		E2348C_1360
ychM	sulfate transporter YchM		E2348C_1329
ychN	hypothetical protein		E2348C_1343
ychO	hypothetical protein		E2348C_1344
ychQ	transcriptional regulator		E2348C_1336
yciA	acyl-CoA thioester hydrolase		E2348C_1380
yciB	intracellular septation protein A		E2348C_1381
yciC	hypothetical protein		E2348C_1382
yciH	translation initiation factor Sui1		E2348C_1474
yciI	hypothetical protein		E2348C_1378
yciK	short chain dehydrogenase		E2348C_1461
yciM	tetratricopeptide repeat protein		E2348C_1472
yciN	hypothetical protein		E2348C_1463
yciO	hypothetical protein		E2348C_1457
yciQ	hypothetical protein		E2348C_1458
yciS	hypothetical protein		E2348C_1471
yciT	DNA-binding transcriptional regulator		E2348C_1476
yciU	dsDNA-mimic protein		E2348C_1374
yciW	oxidoreductase		E2348C_1481
yciX	hypothetical protein		E2348C_1467
yciY	hypothetical protein		E2348C_1376
yciZ	hypothetical protein		E2348C_1477
ycjF	hypothetical protein		E2348C_1515
ycjG	L-Ala-D/L-Glu epimerase	muropeptide degradation	E2348C_1518
ycjM	glucosyltransferase		E2348C_1501
ycjN	sugar transporter subunit: periplasmic-binding component of ABC superfamily		E2348C_1502
ycjO	sugar transporter subunit: membrane component of ABC superfamily		E2348C_1503
ycjP	sugar transporter subunit: membrane component of ABC superfamily		E2348C_1504
ycjQ	"oxidoreductase, Zn-dependent and NAD(P)-binding"		E2348C_1505
ycjR	hypothetical protein		E2348C_1506
ycjS	"oxidoreductase, NADH-binding"		E2348C_1507
ycjU	beta-phosphoglucomutase	galactose degradation I (Leloir pathway)	E2348C_1510
ycjV	sugar transporter subunit: ATP-binding component of ABC superfamily		E2348C_1511
ycjW	DNA-binding transcriptional regulator		E2348C_1513
ycjX	hypothetical protein		E2348C_1514
ycjY	hydrolase		E2348C_1521
ycjZ	DNA-binding transcriptional regulator		E2348C_1522
ydaL	hypothetical protein		E2348C_1532
ydbC	oxidoreductase		E2348C_1548
ydbH	hypothetical protein		E2348C_1543
ydbJ	hypothetical protein		E2348C_1540
ydbK	fused pyruvate-flavodoxin oxidoreductase: conserved protein/conserved protein/FeS binding protein	"glycerol degradation to butanol // ""reductive monocarboxylic acid cycle"" // ""pyruvate fermentation to acetate III"""	E2348C_1539
ydbL	hypothetical protein		E2348C_1545
ydcA	hypothetical protein		E2348C_1556
ydcF	hypothetical protein		E2348C_1552
ydcH	hypothetical protein		E2348C_1569
ydcI	DNA-binding transcriptional regulator		E2348C_1566
ydcJ	hypothetical protein		E2348C_1567
ydcK	hypothetical protein		E2348C_1571
ydcL	lipoprotein		E2348C_1574
ydcN	DNA-binding transcriptional regulator		E2348C_1576
ydcO	benzoate transporter		E2348C_1575
ydcP	peptidase		E2348C_1577
ydcR	fused DNA-binding transcriptional regulator/ amino transferase		E2348C_1579
ydcS	spermidine/putrescine transporter subunit		E2348C_1580
ydcT	"spermidine/putrescine transporter subunit, membrane component of ABC superfamily"		E2348C_1581
ydcU	spermidine/putrescine transporter subunit		E2348C_1582
ydcV	"spermidine/putrescine transporter subunit, membrane component of ABC superfamily"		E2348C_1583
ydcW	gamma-aminobutyraldehyde dehydrogenase	putrescine degradation I	E2348C_1584
ydcX	hypothetical protein		E2348C_1586
ydcY	hypothetical protein		E2348C_1587
ydcZ	hypothetical protein		E2348C_1588
yddA	fused multidrug transporter subunits of ABC superfamily: membrane component/ATP-binding component		E2348C_1623
yddB	porin		E2348C_1622
yddE	hypothetical protein		E2348C_1601
yddG	hypothetical protein		E2348C_1607
yddH	hypothetical protein		E2348C_1599
yddM	DNA-binding transcriptional regulator		E2348C_1611
yddW	liprotein		E2348C_1618
ydeA	sugar efflux transporter		E2348C_1648
ydeE	MFS-type transporter YdeE		E2348C_1654
ydeH	hypothetical protein		E2348C_1656
ydeM	hypothetical protein		E2348C_1624
ydeN	hypothetical protein		E2348C_1625
ydeO	transcriptional regulator YdeO		E2348C_1626
ydeP	oxidoreductase		E2348C_1628
ydeQ	fimbrial protein-like protein		E2348C_1629
ydeR	fimbrial protein-like protein		E2348C_1630
ydeS	fimbrial protein-like protein		E2348C_1631
ydfG	3-hydroxy acid dehydrogenase		E2348C_1659
ydfH	DNA-binding transcriptional regulator		E2348C_1660
ydfI	mannonate dehydrogenase		E2348C_1662
ydfJ	transporter		E2348C_1663
ydfZ	hypothetical protein		E2348C_1661
ydgA	hypothetical protein		E2348C_1699
ydgC	hypothetical protein		E2348C_1692
ydgD	peptidase		E2348C_1683
ydgH	hypothetical protein		E2348C_1689
ydgI	arginine/ornithine antiporter		E2348C_1690
ydgJ	oxidoreductase		E2348C_1710
ydgK	hypothetical protein		E2348C_1713
ydgU	membrane protein		E2348C_1682
ydhA	lysozyme inhibitor		E2348C_1726
ydhB	DNA-binding transcriptional regulator		E2348C_1746
ydhC	inner membrane transport protein YdhC		E2348C_1747
ydhF	oxidoreductase		E2348C_1734
ydhI	hypothetical protein		E2348C_1730
ydhJ	undecaprenyl pyrophosphate phosphatase		E2348C_1731
ydhK	hypothetical protein		E2348C_1732
ydhL	hypothetical protein		E2348C_1735
ydhM	DNA-binding transcriptional regulator		E2348C_1736
ydhO	lipoprotein		E2348C_1741
ydhP	transporter		E2348C_1743
ydhQ	hypothetical protein		E2348C_1751
ydhR	hypothetical protein		E2348C_1752
ydhS	hypothetical protein		E2348C_1753
ydhT	hypothetical protein		E2348C_1754
ydhU	cytochrome		E2348C_1755
ydhV	oxidoreductase		E2348C_1758
ydhW	hypothetical protein		E2348C_1757
ydhX	4Fe-4S ferredoxin		E2348C_1756
ydhY	hypothetical protein		E2348C_1759
ydhZ	hypothetical protein		E2348C_1760
ydiA	hypothetical protein		E2348C_1788
ydiB	quinate/shikimate dehydrogenase	"quinate degradation I // ""shikimate degradation I"" // ""superpathway of chorismate metabolism"" // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"""	E2348C_1777
ydiE	hypothetical protein		E2348C_1790
ydiF	fused acetyl-CoA: acetoacetyl-CoA transferase: alpha subunit/beta subunit		E2348C_1779
ydiH	hypothetical protein		E2348C_1770
ydiI	hypothetical protein	"superpathway of chorismate metabolism // ""superpathway of menaquinol-8 biosynthesis I"" // ""superpathway of demethylmenaquinol-8 biosynthesis"" // ""1,4-dihydroxy-2-naphthoate biosynthesis I"""	E2348C_1771
ydiJ	FAD-linked oxidoreductase		E2348C_1772
ydiK	hypothetical protein		E2348C_1773
ydiL	hypothetical protein		E2348C_1774
ydiM	transporter		E2348C_1775
ydiN	transporter		E2348C_1776
ydiO	acyl-CoA dehydrogenase	fatty acid &beta;-oxidation I	E2348C_1780
ydiP	DNA-binding transcriptional regulator		E2348C_1781
ydiQ	electron transfer flavoprotein YdiQ		E2348C_1782
ydiR	electron transfer flavoprotein subunit YdiR	"aerobic respiration (cytochrome c) // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bd</i> oxidase electron transfer"""	E2348C_1783
ydiS	hypothetical protein		E2348C_1784
ydiT	4Fe-4S ferredoxin		E2348C_1785
ydiU	hypothetical protein		E2348C_1791
ydiV	hypothetical protein		E2348C_1792
ydiY	hypothetical protein		E2348C_1851
ydiZ	hypothetical protein		E2348C_1853
ydjA	hypothetical protein		E2348C_1892
ydjE	transporter		E2348C_1896
ydjF	DNA-binding transcriptional regulator		E2348C_1897
ydjG	oxidoreductase		E2348C_1898
ydjH	kinase		E2348C_1899
